cmm_id,bio,comments
11875,0,Flavonoids
11867,0,Glyco conjugate of Flavonoids
11868,0,Glyco conjugate of Flavonoids
94663,0,synthetic purine nucleoside
168249,0,synthetic purine nucleoside
11818,0,Flavonoids
11805,0,Glyco conjugate of Flavonoids
11806,0,Glyco conjugate of Flavonoids
169364,0,inhibitor of protein arginine deiminases 
12455,0,Flavonoids
10906,0,Antibacterial agent
136915,1,primarily located in the cellular  membrane 
166687,0,irreversible 20S proteasome inhibitor
39127,0,inhibitor of HIV-1 reverse transcriptase 
59351,0,Flavonid derivative
119227,0,Carbazole alkaloid
12557,0,A quinone drug
160682,0,Clavam drug
150700,0,augment amoxicilline snf inhibit prnicillinase enzyme
158189,0,clavam antibiotics
161203,0,clavam antibiotics
157365,0,clavam antibiotics
157714,0,clavam antibiotics
160385,0,clavam antibiotics
153453,0,clavam antibiotics
34144,0,clavam antibiotics
29027,1,Fatty acid like structure
29028,1,Fatty acid like structure
66787,0,Clavulenic acid derivative
162035,0,Clavulenic acid derivative
29018,0,Marine Prostanoids from
29019,0,Marine Prostanoids from
29020,0,Marine Prostanoids from
29004,0,Marine Prostanoids from
29005,0,Marine Prostanoids from
29006,0,Marine Prostanoids from
29007,0,Marine Prostanoids from
36246,0,A  polylactosamine sugar
173780,0,A  dopamine antagonist drug
154512,0,A diuretic glycoside
150327,0,A diuretic glycoside
62722,0,Antihistaminic drug
157783,0,A triterpene saponine
156083,0,A triterpene saponine
153002,0,A triterpene saponine
17216,0,F=A flower extract
143799,0,Synthetic drug to treat asthma
156074,1,A metabolite and an anti-inflammatory agent
150907,0,Extracted from a flower
150694,0,A diterpinoid
39000,1,A stigmasterol
44664,1,A stigmasterol
39128,1,A stigmasterol
161049,0,A selective postemergence herbicide 
143405,0,A selective postemergence herbicide 
157549,0,A selective postemergence herbicide 
127275,0,An antibacterial agent
157341,0,An antibacterial agent
153098,0,An antibacterial agent
153344,0,An antibacterial agent
156634,0,An antibacterial agent
178467,0,An antibacterial agent
175725,0,An antibacterial agent
150446,0,A major metabolite of a sponge
38998,0,A major metabolite of a sponge
169116,0,A quinone drug
155511,1,Related to PPP
157832,0,Anti acid drug metabolite
143037,0,A mushroom nucleoside isolate with anticancer activity
12319,0, Extracted from the root of Clitoria
162575,0,Natural product
179510,1,Short chain fatty acid
45768,0,A Benzodiazepine drug
161802,0,Antihistaminic (H3 blocker)
169289,0,Antihistaminic (H3 blocker)
120566,0,A prescription anorectic drug
71823,0,A derivative of PREDNISOLONE 
179273,0,A derivative of PREDNISOLONE 
176685,0,A corticosteroid drug
165512,0,A atypical antipsychotic  drug
153817,0,A atypical antipsychotic  drug
149380,0,A diarylmethane drug
44155,0,A glucocorticoid drug
179738,0,A glucocorticoid drug
171895,0,A glucocorticoid drug
47879,0,A diphosphonate which affects calcium metabolism
155421,0,A carbamate pesticide
126616,1,An intermediate in the biosynthesis of UDP
130807,0,Anticancer drug
102986,0,A drug to treat leprosy
150263,0,A drug to treat leprosy
67977,0,A drug to treat leprosy
147193,0,A polychlorinated pesticide'
162415,0,An organochlorine acaricide
128088,0,Fibrate antcholesterol
